File Name,Year,Grade,Subject,Type
/pdfs\mathforallEM.pdf,2023,O Lvl,E Math,Notes
/pdfs\amathforallAM.pdf,2023,O Lvl,A Math,Notes
/pdfs\chem_is_try.pdf,2023,O Lvl,Chemistry,Notes
/pdfs\quantitiesandunits.pdf,2024,Y1 Poly,PEEE1,Notes
/pdfs\charge_voltage_current.pdf,2024,Y1 Poly,PEEE1,Notes
/pdfs\resistance_ohmslaw.pdf,2024,Y1 Poly,PEEE1,Notes
/pdfs\energyandpower.pdf,2024,Y1 Poly,PEEE1,Notes
/pdfs\seriescircuits.pdf,2024,Y1 Poly,PEEE1,Notes
/pdfs\parallelcircuits.pdf,2024,Y1 Poly,PEEE1,Notes
/pdfs\superposition.pdf,2024,Y1 Poly,PEEE1,Notes
/pdfs\electromagnetism.pdf,2024,Y1 Poly,PEEE1,Notes
/pdfs\acvoltage_current.pdf,2024,Y1 Poly,PEEE1,Notes
/pdfs\capacitors.pdf,2024,Y1 Poly,PEEE1,Notes
/pdfs\inductors.pdf,2024,Y1 Poly,PEEE1,Notes
/pdfs\transformers.pdf,2024,Y1 Poly,PEEE1,Notes
/pdfs\peee1_extraformulae.pdf,2024,Y1 Poly,PEEE1,Summary
/pdfs\peee1_summary.pdf,2024,Y1 Poly,PEEE1,Summary
/pdfs\matlproperties_testingmethods.pdf,2024,Y1 Poly,EMATL1,Notes
/pdfs\plaincarbonsteels.pdf,2024,Y1 Poly,EMATL1,Notes
/pdfs\heattreatment.pdf,2024,Y1 Poly,EMATL1,Notes
/pdfs\alloysteels.pdf,2024,Y1 Poly,EMATL1,Notes
/pdfs\aluminiumalloys.pdf,2024,Y1 Poly,EMATL1,Notes
/pdfs\matl1_casting.pdf,2024,Y1 Poly,EMATL1,Notes
/pdfs\ematl1_summariser.pdf,2024,Y1 Poly,EMATL1,Summary
/pdfs\ematl1_memorypage.pdf,2024,Y1 Poly,EMATL1,Summary
/pdfs\mech1_est_summary.pdf,2024,Y1 Poly,MECH1,Summary
/pdfs\cad_ca2quiz_summary.pdf,2024,Y1 Poly,CAD,Summary
